Name,pozicija,LS,ST,RS,LW,LF,CF,RF,RW,LAM,CAM,RAM,LM,LCM,CM,RCM,RM,LWB,LDM,CDM,RDM,RWB,LB,LCB,CB,RCB,RB,Crossing,Finishing,HeadingAccuracy,ShortPassing,Volleys,Dribbling,Curve,FKAccuracy,LongPassing,BallControl,Acceleration,SprintSpeed,Agility,Reactions,Balance,ShotPower,Jumping,Stamina,Strength,LongShots,Aggression,Interceptions,Positioning,Vision,Penalties,Composure,Marking,StandingTackle,SlidingTackle,GKDiving,GKHandling,GKKicking,GKPositioning,GKReflexes,Overall
J. Jones,V,54,54,54,59,57,57,57,59,60,60,60,59,59,59,59,59,53,53,53,53,53,51,47,47,47,51,56,51,39,65,39,59,56,42,65,62,68,62,72,48,81,54,44,67,58,62,45,40,53,62,50,55,50,44,38,10,9,12,11,15,60
R. Tranberg,V,48,48,48,48,49,49,49,48,51,51,51,51,54,54,54,51,54,58,58,58,54,54,58,58,58,54,41,31,51,58,27,50,40,35,57,57,54,47,55,55,47,61,62,68,74,42,79,55,41,54,44,62,56,57,52,10,10,13,13,14,60
S. Bougrine,V,51,51,51,55,55,55,55,55,56,56,56,57,58,58,58,57,60,61,61,61,60,60,60,60,60,60,44,38,54,65,30,63,44,41,61,60,67,64,59,57,54,49,64,67,61,33,59,59,46,58,43,54,66,63,60,14,9,8,15,12,60
S. Byrne,V,56,56,56,56,57,57,57,56,58,58,58,57,58,58,58,57,55,57,57,57,55,55,55,55,55,55,40,42,55,67,42,57,58,57,63,61,66,74,56,55,59,63,63,64,67,53,65,47,57,54,48,64,51,52,50,9,7,13,11,8,60
Park Yong Ji,N,57,57,57,59,57,57,57,59,57,57,57,58,50,50,50,58,43,38,38,38,43,40,33,33,33,40,60,54,64,60,42,58,56,55,56,57,81,74,80,50,65,52,54,53,61,52,22,14,55,49,60,52,24,13,16,14,9,13,10,14,60
C. Calderón,B,47,47,47,54,51,51,51,54,51,51,51,55,51,51,51,55,59,54,54,54,59,59,55,55,55,59,57,33,50,50,27,58,34,35,49,61,78,81,63,51,74,31,58,59,43,33,60,57,46,42,47,51,50,62,61,7,12,9,8,10,60
F. Juárez,V,53,53,53,54,55,55,55,54,56,56,56,57,58,58,58,57,55,56,56,56,55,55,52,52,52,55,49,38,59,71,40,57,47,46,70,57,59,62,57,60,73,61,65,63,44,39,64,48,54,51,44,47,40,49,57,5,10,7,7,12,60
F. Lapis,B,53,53,53,56,53,53,53,56,53,53,53,56,51,51,51,56,58,54,54,54,58,59,57,57,57,59,56,48,57,57,38,55,35,34,51,52,88,89,71,47,64,42,57,64,69,44,57,51,44,42,41,41,50,62,56,14,8,13,15,11,60
Cristian Rodríguez,V,53,53,53,57,57,57,57,57,59,59,59,58,60,60,60,58,55,57,57,57,55,54,53,53,53,54,54,38,51,66,35,59,49,42,62,63,59,58,65,60,67,57,62,57,62,53,58,53,55,63,52,60,43,51,47,10,8,6,7,7,60
S. Folan,B,48,48,48,47,46,46,46,47,47,47,47,48,50,50,50,48,54,56,56,56,54,55,58,58,58,55,54,37,57,54,46,43,46,39,54,55,43,43,56,55,48,53,58,58,70,43,59,56,43,41,49,50,57,60,61,10,14,7,14,9,60
Shan Pengfei,B,46,46,46,49,46,46,46,49,46,46,46,51,47,47,47,51,58,53,53,53,58,58,56,56,56,58,59,34,56,50,30,47,35,30,36,55,78,58,74,55,77,31,55,82,75,28,47,44,36,36,32,56,58,60,59,15,6,14,8,9,60
J. Yarney,B,42,42,42,41,41,41,41,41,41,41,41,43,44,44,44,43,51,52,52,52,51,53,58,58,58,53,35,22,58,53,35,47,30,31,38,45,51,48,36,56,68,46,73,50,69,22,53,55,30,37,42,50,60,61,60,6,8,14,6,14,60
U. Tezel,B,55,55,55,58,57,57,57,58,56,56,56,59,54,54,54,59,58,55,55,55,58,58,55,55,55,58,61,51,50,54,41,61,43,37,50,60,71,73,64,61,67,51,71,62,54,45,58,54,56,48,47,45,52,57,55,13,9,11,7,8,60
A. Al Sharid,V,54,54,54,56,56,56,56,56,58,58,58,58,60,60,60,58,57,59,59,59,57,55,54,54,54,55,51,56,44,68,40,60,43,46,66,60,52,55,57,58,71,52,67,68,61,54,51,55,46,59,48,55,46,59,51,10,7,13,5,11,60
M. Demir,V,53,53,53,59,57,57,57,59,58,58,58,58,52,52,52,58,45,41,41,41,45,42,34,34,34,42,58,50,42,55,54,67,56,42,53,62,69,67,79,52,81,50,39,46,37,43,39,23,55,56,55,55,17,34,25,10,10,9,8,10,60
D. Esmel,N,54,54,54,59,57,57,57,59,56,56,56,59,50,50,50,59,47,42,42,42,47,44,39,39,39,44,53,54,38,56,40,65,50,39,43,62,83,80,79,40,70,53,70,65,58,42,58,25,55,47,46,42,30,26,27,8,11,10,15,13,60
T. Nichols,N,59,59,59,58,59,59,59,58,57,57,57,57,50,50,50,57,42,37,37,37,42,39,31,31,31,39,41,62,51,53,56,58,42,42,43,59,73,73,83,61,68,61,49,70,47,54,35,16,59,48,68,48,19,11,13,8,6,15,10,12,60
V. Arboleda,N,57,57,57,59,59,59,59,59,58,58,58,58,50,50,50,58,42,38,38,38,42,39,32,32,32,39,52,54,49,55,43,64,50,32,45,59,77,72,76,55,84,65,62,49,38,55,49,20,58,52,57,55,17,16,18,13,7,15,7,10,60
G. Mells,V,51,51,51,56,55,55,55,56,57,57,57,59,58,58,58,59,58,57,57,57,58,58,54,54,54,58,56,40,51,63,36,61,57,53,60,61,66,65,60,56,72,42,59,73,58,40,40,45,48,61,40,60,62,58,54,6,15,11,13,6,60
Z. Grich,V,54,54,54,58,57,57,57,58,56,56,56,58,51,51,51,58,46,42,42,42,46,43,36,36,36,43,55,57,32,61,47,62,52,65,52,58,78,68,68,45,62,57,74,59,44,45,43,23,58,47,58,42,32,28,24,13,10,12,6,14,60
Yoon Dong Min,N,59,59,59,60,60,60,60,60,58,58,58,60,54,54,54,60,52,47,47,47,52,49,43,43,43,49,65,70,33,45,51,57,44,56,45,58,50,66,85,67,74,60,58,81,63,50,42,31,70,63,52,52,48,35,34,14,7,16,7,9,60
A. May,V,57,57,57,57,58,58,58,57,58,58,58,57,58,58,58,57,56,57,57,57,56,56,56,56,56,56,37,53,55,61,37,55,34,32,60,58,71,73,67,62,76,58,72,74,64,57,58,55,52,56,36,43,43,57,52,7,7,14,13,14,60
M. Sorensen,B,45,45,45,49,46,46,46,49,47,47,47,51,50,50,50,51,56,56,56,56,56,57,58,58,58,57,51,40,54,53,29,54,31,25,56,50,58,60,56,53,57,20,61,67,69,26,57,61,43,35,32,59,59,60,55,6,13,12,14,11,60
B. Morris,N,58,58,58,60,59,59,59,60,59,59,59,58,51,51,51,58,41,37,37,37,41,38,30,30,30,38,48,64,51,58,40,59,33,30,53,62,76,77,77,48,81,61,64,50,32,59,34,15,59,51,65,61,22,16,11,10,10,9,8,13,60
O. Dytyatev,B,37,37,37,34,34,34,34,34,34,34,34,37,38,38,38,37,50,50,50,50,50,52,59,59,59,52,37,21,52,35,24,31,29,41,29,34,41,50,51,56,31,34,69,66,93,18,49,52,28,35,33,53,55,67,64,14,11,6,12,13,60
P. Mbodji,V,53,53,53,54,55,55,55,54,57,57,57,55,59,59,59,55,52,55,55,55,52,51,51,51,51,51,38,54,48,64,27,58,40,35,66,60,53,56,52,53,63,48,55,56,57,57,52,55,52,57,36,41,28,63,48,15,9,14,12,6,60
S. Al Najai,V,59,59,59,60,60,60,60,60,61,61,61,61,60,60,60,61,59,59,59,59,59,59,57,57,57,59,57,60,57,64,47,62,51,45,60,59,64,67,66,57,55,56,62,70,64,56,52,55,62,60,48,53,52,61,55,8,7,8,9,6,60
M. Bokoum,V,56,56,56,60,58,58,58,60,56,56,56,58,48,48,48,58,44,38,38,38,44,42,34,34,34,42,53,53,35,46,47,67,41,38,41,65,85,83,75,47,70,64,37,50,62,43,31,17,55,51,50,51,18,26,31,14,13,14,10,13,60
R. Wolsztyński,N,59,59,59,58,58,58,58,58,57,57,57,57,52,52,52,57,44,42,42,42,44,42,38,38,38,42,48,61,53,53,51,60,48,29,46,58,64,70,68,60,71,55,79,60,66,50,31,31,61,56,54,59,36,13,18,11,6,12,14,14,60
R. Escobar,B,46,46,46,45,46,46,46,45,48,48,48,47,52,52,52,47,53,57,57,57,53,55,59,59,59,55,35,37,66,62,35,42,38,32,61,47,55,55,60,61,75,45,70,59,59,38,59,59,29,47,44,48,57,63,49,6,10,13,12,13,60
A. Al Shammary,V,53,53,53,59,56,56,56,59,56,56,56,58,53,53,53,58,53,50,50,50,53,51,47,47,47,51,64,50,37,55,36,62,41,38,53,58,72,72,78,67,77,44,31,49,65,42,53,40,49,51,44,47,44,44,38,7,8,9,10,6,60
F. Krüger,N,59,59,59,56,58,58,58,56,56,56,56,55,49,49,49,55,40,39,39,39,40,39,37,37,37,39,38,60,57,56,61,55,43,34,43,60,74,77,51,56,54,58,65,50,66,54,62,12,54,51,63,52,18,15,23,10,9,6,7,8,60
H. Heath,V,54,54,54,56,56,56,56,56,58,58,58,57,59,59,59,57,55,57,57,57,55,53,54,54,54,53,50,39,54,66,45,59,53,45,65,62,59,55,63,59,58,59,60,59,63,55,60,59,52,55,62,55,55,45,39,12,7,14,10,9,60
W. Boyle,B,39,39,39,36,36,36,36,36,35,35,35,38,40,40,40,38,51,52,52,52,51,53,59,59,59,53,32,25,62,44,24,28,26,27,34,40,59,53,37,46,57,37,71,70,74,20,61,58,24,34,41,53,57,62,60,8,15,13,13,7,60
A. Rodríguez,N,59,59,59,60,60,60,60,60,60,60,60,60,58,58,58,60,56,56,56,56,56,56,54,54,54,56,49,62,43,61,32,57,40,46,58,61,70,75,69,61,73,61,59,51,58,50,64,51,63,58,49,55,48,57,55,14,14,13,9,8,60
T. Domgjoni,V,55,55,55,55,56,56,56,55,57,57,57,57,59,59,59,57,59,60,60,60,59,59,59,59,59,59,36,39,58,61,38,57,53,33,58,57,68,68,56,62,69,60,60,75,60,56,61,57,54,61,40,58,59,59,62,6,14,9,14,13,60
M. Bola,B,48,48,48,53,50,50,50,53,51,51,51,55,51,51,51,55,58,55,55,55,58,58,57,57,57,58,60,30,50,54,26,58,46,26,46,60,70,74,62,52,67,36,64,58,67,29,58,52,47,43,36,52,54,63,59,10,16,6,16,16,60
S. Smith,N,58,58,58,56,57,57,57,56,55,55,55,54,49,49,49,54,40,37,37,37,40,38,34,34,34,38,39,62,57,57,44,52,41,55,41,54,64,72,59,52,63,58,62,55,60,59,32,16,63,52,64,52,17,19,19,11,8,9,9,9,60
S. Fujitani,B,44,44,44,49,46,46,46,49,46,46,46,51,47,47,47,51,58,54,54,54,58,59,56,56,56,59,52,27,41,52,20,46,34,27,42,49,81,79,76,57,70,29,63,67,60,25,58,58,46,31,38,44,54,65,55,13,9,8,10,5,60
Sergi Álamo,B,49,49,49,54,51,51,51,54,52,52,52,55,52,52,52,55,59,56,56,56,59,59,58,58,58,59,60,35,54,53,33,62,54,42,42,59,58,60,66,62,43,30,48,64,65,29,58,58,52,45,43,54,45,67,62,11,9,9,7,6,60
A. Ćatić,N,56,56,56,60,58,58,58,60,57,57,57,59,51,51,51,59,46,41,41,41,46,44,37,37,37,44,60,57,45,57,59,61,57,50,53,57,88,85,72,38,64,59,53,52,53,52,48,19,56,55,60,52,28,29,30,7,8,7,13,12,60
P. Grant,B,37,37,37,32,32,32,32,32,31,31,31,34,35,35,35,34,48,48,48,48,48,52,58,58,58,52,25,23,62,33,23,18,22,23,28,32,58,61,36,53,63,37,81,70,67,18,65,54,25,29,41,53,57,64,60,10,9,10,15,15,60
K. Monlouis,V,55,55,55,56,56,56,56,56,58,58,58,58,59,59,59,58,57,58,58,58,57,57,56,56,56,57,45,36,61,74,45,61,42,49,71,56,69,65,55,55,63,62,57,56,53,47,61,49,57,51,53,53,56,54,62,7,14,14,15,7,60
A. Anastasio,B,55,55,55,57,56,56,56,57,58,58,58,58,58,58,58,58,59,58,58,58,59,59,58,58,58,59,68,38,64,72,46,61,56,49,61,52,56,60,59,63,62,63,65,48,52,48,64,49,56,58,63,60,60,58,63,9,12,5,6,12,60
B. Njie,N,57,57,57,59,58,58,58,59,56,56,56,58,48,48,48,58,45,38,38,38,45,43,34,34,34,43,53,57,42,47,53,63,43,35,44,57,86,86,84,52,82,63,66,61,42,47,38,18,58,46,51,49,23,27,25,8,8,13,12,9,60
E. Monthe,B,42,42,42,37,38,38,38,37,36,36,36,39,39,39,39,39,50,50,50,50,50,53,58,58,58,53,27,24,60,39,29,20,23,27,26,50,63,66,31,49,49,44,74,64,77,22,54,52,34,33,38,47,59,60,59,9,12,16,12,11,60
V. Millico,N,55,55,55,59,58,58,58,59,58,58,58,58,51,51,51,58,45,41,41,41,45,42,37,37,37,42,60,56,38,65,51,69,56,56,44,65,68,55,56,41,71,61,40,31,52,45,31,22,55,56,50,52,29,31,35,12,6,13,12,6,60
N. Husin,V,56,56,56,58,57,57,57,58,58,58,58,59,58,58,58,59,58,58,58,58,58,57,54,54,54,57,59,55,44,63,44,56,64,57,60,59,66,60,77,57,78,60,53,71,59,61,60,53,54,55,46,64,51,58,54,14,14,11,8,6,60
D. Salazar,N,59,59,59,58,58,58,58,58,56,56,56,56,48,48,48,56,43,38,38,38,43,40,36,36,36,40,49,62,48,47,47,68,57,39,33,63,56,72,68,51,51,63,41,55,65,57,32,17,58,47,55,48,29,25,24,13,16,13,16,13,60
V. Drchal,N,58,58,58,53,55,55,55,53,53,53,53,52,47,47,47,52,39,39,39,39,39,38,38,38,38,38,24,58,59,53,45,51,43,33,45,54,72,75,71,50,43,62,67,57,70,42,66,19,63,45,48,47,17,22,20,13,9,11,6,13,60
J. Caraballo,V,57,57,57,58,57,57,57,58,56,56,56,58,52,52,52,58,48,45,45,45,48,46,41,41,41,46,60,58,47,57,55,59,57,42,58,60,73,73,69,46,80,64,52,57,62,45,37,28,56,49,62,58,35,35,31,5,9,15,8,15,60
C. Zock,V,57,57,57,59,57,57,57,59,59,59,59,59,59,59,59,59,59,60,60,60,59,59,60,60,60,59,64,61,56,69,35,57,39,37,62,60,71,72,69,58,52,62,65,53,76,59,62,51,32,60,49,57,56,63,55,8,16,15,10,14,60
F. Carstens,B,42,42,42,41,40,40,40,41,40,40,40,43,43,43,43,43,53,52,52,52,53,55,58,58,58,55,43,22,62,53,25,33,25,22,32,47,62,60,42,56,43,39,70,60,79,20,46,53,29,32,30,52,58,62,54,14,12,11,15,12,60
B. Levis,B,54,54,54,58,56,56,56,58,57,57,57,57,55,55,55,57,59,55,55,55,59,58,55,55,55,58,62,42,45,59,44,59,60,44,46,57,75,67,79,57,78,69,62,57,45,59,62,56,52,55,38,49,58,57,56,6,15,7,8,14,60
B. Miele,V,57,57,57,59,59,59,59,59,60,60,60,59,59,59,59,59,54,53,53,53,54,53,48,48,48,53,56,60,51,61,53,61,61,66,58,60,58,60,64,60,68,62,70,61,44,61,51,54,49,65,53,53,28,48,48,9,8,8,8,7,60
J. Abarzua,V,57,57,57,58,58,58,58,58,59,59,59,59,59,59,59,59,59,59,59,59,59,58,56,56,56,58,50,56,50,64,33,62,34,35,62,63,66,66,62,55,74,68,64,70,56,56,55,53,50,52,40,59,64,56,54,15,5,10,9,6,60
C. Villanueva,B,51,51,51,54,53,53,53,54,54,54,54,56,55,55,55,56,59,58,58,58,59,58,57,57,57,58,57,30,40,59,52,59,42,40,57,55,66,65,55,61,45,61,52,68,70,60,60,53,49,47,62,49,60,59,59,11,12,9,8,6,60
N. Arena,B,43,43,43,42,42,42,42,42,41,41,41,44,43,43,43,44,54,53,53,53,54,56,58,58,58,56,29,25,57,40,31,43,33,31,36,49,66,66,58,61,56,42,67,64,60,26,56,64,27,34,41,49,60,59,61,12,14,9,13,6,60
S. Marasovic,V,55,55,55,57,57,57,57,57,59,59,59,57,57,57,57,57,51,52,52,52,51,50,48,48,48,50,44,44,54,67,53,55,42,44,62,57,68,62,87,55,88,67,59,52,38,51,48,47,60,60,51,47,53,42,38,8,13,13,10,9,60
M. Falkeborn,B,49,49,49,52,52,52,52,52,52,52,52,53,53,53,53,53,57,57,57,57,57,58,59,59,59,58,43,27,50,51,34,58,50,39,47,61,73,70,63,50,59,55,56,65,59,52,75,56,44,50,37,41,56,64,64,15,8,15,6,10,60
R. Boultam,V,53,53,53,54,56,56,56,54,57,57,57,56,58,58,58,56,53,56,56,56,53,53,53,53,53,53,38,32,51,63,38,58,41,41,62,61,66,62,57,57,60,65,62,68,65,62,63,54,54,55,40,48,41,51,43,5,5,6,10,8,60
G. Giannoutsos,B,48,48,48,53,51,51,51,53,50,50,50,54,50,50,50,54,58,55,55,55,58,59,59,59,59,59,54,29,52,52,25,63,30,33,39,60,67,76,64,54,62,42,65,59,65,26,65,56,45,42,37,50,64,57,61,14,8,13,15,7,60
A. Davies,B,39,39,39,38,39,39,39,38,40,40,40,40,44,44,44,40,51,54,54,54,51,53,58,58,58,53,23,24,55,58,29,42,30,30,37,45,44,46,40,56,59,34,69,59,64,23,51,58,25,30,30,59,65,62,58,6,9,14,13,10,60
S. Adrian,V,51,51,51,55,54,54,54,55,57,57,57,58,59,59,59,58,57,60,60,60,57,56,56,56,56,56,59,36,42,66,30,57,61,55,67,64,58,62,59,55,70,61,50,64,70,45,71,50,42,64,36,63,65,48,50,7,9,6,7,11,60
V. Rodríguez,V,53,53,53,58,55,55,55,58,57,57,57,59,56,56,56,59,60,57,57,57,60,59,56,56,56,59,55,59,52,64,33,63,48,39,59,62,74,73,75,55,89,52,78,64,46,37,58,53,28,56,52,40,60,50,62,11,14,6,6,8,60
T. Archibald,V,57,57,57,60,58,58,58,60,57,57,57,58,51,51,51,58,49,44,44,44,49,46,41,41,41,46,53,63,30,50,48,65,61,40,40,60,75,78,75,40,62,63,40,65,60,60,59,30,58,55,58,50,28,40,38,13,7,6,9,15,60
C. McGrandles,V,57,57,57,60,59,59,59,60,60,60,60,61,59,59,59,61,57,56,56,56,57,55,51,51,51,55,54,57,47,57,36,64,44,39,63,63,71,68,73,55,61,54,65,82,64,51,54,48,56,58,53,48,50,48,42,15,13,8,10,15,60
R. Hall-Johnson,B,52,52,52,56,55,55,55,56,55,55,55,57,54,54,54,57,57,56,56,56,57,57,54,54,54,57,46,48,41,57,39,58,43,40,54,63,76,76,71,53,82,49,57,58,52,33,51,58,47,50,47,51,52,59,58,7,7,12,9,12,59
M. Haarup,B,49,49,49,54,51,51,51,54,50,50,50,55,49,49,49,55,58,53,53,53,58,58,56,56,56,58,55,33,54,53,26,55,31,31,38,57,83,83,65,55,73,32,65,69,62,26,68,49,49,39,33,48,60,52,51,13,12,7,11,6,59
S. Kassar,V,46,46,46,52,49,49,49,52,51,51,51,54,51,51,51,54,58,55,55,55,58,58,56,56,56,58,55,31,42,55,22,56,31,48,48,49,76,74,66,53,81,32,61,66,59,28,54,55,49,51,37,47,63,58,57,9,5,12,10,9,59
K. Callan-McFadden,B,41,41,41,40,41,41,41,40,43,43,43,43,47,47,47,43,51,55,55,55,51,52,57,57,57,52,22,23,56,55,30,42,32,37,52,53,52,60,44,51,53,42,71,61,65,20,60,56,23,38,34,58,57,58,55,12,7,11,13,10,59
R. Broom,B,54,54,54,58,55,55,55,58,55,55,55,57,49,49,49,57,48,42,42,42,48,45,39,39,39,45,58,52,39,57,39,62,53,42,49,56,80,84,71,41,77,57,53,59,57,47,36,25,51,46,44,46,46,27,26,15,7,10,8,10,59
L. Fenton,B,57,57,57,59,58,58,58,59,58,58,58,59,56,56,56,59,58,55,55,55,58,58,55,55,55,58,54,52,52,57,46,60,57,44,54,58,75,73,75,56,73,57,67,64,60,45,41,58,61,56,45,56,54,54,53,10,10,10,14,7,59
M. Özvardar,N,58,58,58,54,56,56,56,54,55,55,55,53,49,49,49,53,39,38,38,38,39,37,36,36,36,37,44,63,65,55,50,56,60,34,41,57,48,45,58,57,57,58,64,53,61,58,32,15,60,53,60,46,29,14,21,12,14,13,9,8,59
G. Kılıç,V,54,54,54,58,56,56,56,58,58,58,58,58,55,55,55,58,51,50,50,50,51,50,47,47,47,50,54,54,47,62,47,61,60,48,55,59,69,63,73,48,72,54,65,55,50,49,44,32,52,60,48,55,42,54,44,8,15,8,7,7,59
Iván Martos,B,47,47,47,49,48,48,48,49,46,46,46,49,46,46,46,49,56,52,52,52,56,57,59,59,59,57,42,32,51,38,22,66,38,44,31,42,65,63,50,61,61,48,63,58,57,45,62,55,45,40,45,42,58,72,70,9,10,15,5,14,59
G. McEachran,V,49,49,49,56,54,54,54,56,57,57,57,57,57,57,57,57,52,52,52,52,52,51,46,46,46,51,55,40,40,66,46,58,58,53,61,61,64,60,73,50,74,47,48,54,36,32,49,35,53,64,50,63,38,55,52,8,14,7,10,5,59
N. Mekonnen,V,50,50,50,52,51,51,51,52,53,53,53,53,54,54,54,53,57,57,57,57,57,57,57,57,57,57,47,38,60,67,37,52,47,39,53,61,68,55,69,51,74,49,54,59,52,41,62,60,39,48,48,50,54,57,58,12,12,7,8,8,59
C. Hall,N,57,57,57,57,57,57,57,57,54,54,54,54,44,44,44,54,39,35,35,35,39,37,34,34,34,37,35,61,43,42,47,62,40,44,30,54,83,85,71,53,70,58,70,55,65,52,66,25,57,45,58,45,15,11,14,12,14,10,13,8,59
L. Pfeiffer,N,57,57,57,52,53,53,53,52,51,51,51,51,45,45,45,51,42,40,40,40,42,41,43,43,43,41,42,57,68,50,53,53,51,39,28,58,59,63,51,52,35,58,60,59,83,45,58,22,53,42,57,49,26,31,19,7,6,10,15,13,59
D. Markey,V,53,53,53,59,57,57,57,59,58,58,58,59,54,54,54,59,53,47,47,47,53,50,40,40,40,50,56,52,39,61,54,69,56,55,54,61,74,74,85,46,86,54,53,71,29,53,28,32,47,49,55,50,53,37,35,9,10,13,6,14,59
J. Schuurman,V,55,55,55,57,57,57,57,57,58,58,58,58,58,58,58,58,56,58,58,58,56,55,55,55,55,55,47,52,42,64,38,60,45,43,61,64,68,66,62,60,63,58,55,54,61,51,52,57,44,57,45,61,60,54,45,8,13,11,12,15,59
J. Stanic,B,37,37,37,37,36,36,36,37,38,38,38,39,41,41,41,39,50,51,51,51,50,52,58,58,58,52,28,19,55,42,18,36,20,27,36,43,54,53,54,51,56,31,62,52,67,22,56,57,23,39,35,40,60,64,62,7,7,12,9,7,59
A. de Jong,V,58,58,58,57,57,57,57,57,57,57,57,57,53,53,53,57,43,42,42,42,43,41,37,37,37,41,49,61,58,57,43,58,33,32,56,59,61,68,61,55,65,51,57,62,66,50,30,23,59,54,58,56,28,20,16,10,10,13,13,7,59
C. Jordan,B,40,40,40,39,39,39,39,39,39,39,39,40,41,41,41,40,49,51,51,51,49,51,57,57,57,51,33,22,54,42,31,34,33,34,34,50,47,53,53,51,60,41,69,49,68,22,64,57,35,33,49,52,56,60,59,12,14,5,15,10,59
S. Matthews,V,55,55,55,60,58,58,58,60,60,60,60,60,58,58,58,60,54,52,52,52,54,53,47,47,47,53,58,49,47,68,49,64,62,55,63,64,72,67,69,51,74,59,51,63,52,54,46,24,48,57,52,57,40,53,54,14,8,14,16,7,59
K. Fukuda,V,56,56,56,57,57,57,57,57,58,58,58,58,60,60,60,58,58,59,59,59,58,58,56,56,56,58,47,47,66,63,43,58,42,45,65,63,61,56,74,58,73,51,51,73,63,49,56,61,57,56,50,52,34,58,61,8,7,15,9,12,59
O. Patrick,N,57,57,57,57,57,57,57,57,56,56,56,57,51,51,51,57,45,42,42,42,45,43,39,39,39,43,40,58,51,52,43,57,48,34,45,56,77,81,68,58,64,54,65,69,68,52,52,30,54,53,52,50,19,24,22,12,12,7,7,9,59
L. Kryeziu,N,57,57,57,57,58,58,58,57,57,57,57,56,49,49,49,56,39,37,37,37,39,37,33,33,33,37,32,59,49,48,53,63,58,27,42,55,75,79,68,56,68,59,57,62,58,54,53,10,55,58,59,58,12,19,20,5,11,13,8,11,59
K. Hansen,V,55,55,55,58,58,58,58,58,58,58,58,58,55,55,55,58,48,47,47,47,48,46,42,42,42,46,54,52,41,60,49,66,58,48,56,70,60,57,55,54,65,63,50,44,55,45,45,30,50,54,57,64,24,42,43,9,14,7,11,14,59
Y. Yakovenko,N,58,58,58,51,54,54,54,51,52,52,52,50,49,49,49,50,40,42,42,42,40,39,41,41,41,39,28,57,60,50,42,48,30,29,44,53,48,61,43,67,50,63,53,60,73,51,72,21,61,46,55,56,25,24,23,13,8,9,5,6,59
B. Sabovic,V,55,55,55,57,56,56,56,57,58,58,58,57,57,57,57,57,53,54,54,54,53,52,51,51,51,52,50,48,46,64,39,56,58,59,62,59,59,71,68,56,59,60,55,62,72,54,61,39,51,62,51,55,46,44,48,13,16,16,12,7,59
D. Padilla,V,51,51,51,58,56,56,56,58,57,57,57,58,53,53,53,58,49,46,46,46,49,46,41,41,41,46,52,46,34,60,43,64,46,48,54,63,73,71,74,53,75,52,53,48,45,42,44,26,48,55,49,50,52,32,33,9,11,15,14,5,59
S. Sosa,V,49,49,49,51,51,51,51,51,53,53,53,53,55,55,55,53,55,57,57,57,55,55,56,56,56,55,42,38,52,64,34,59,39,40,61,58,58,55,57,55,64,56,58,58,60,41,60,53,32,54,47,51,56,54,60,6,13,13,10,10,59
F. Mveng,V,58,58,58,61,60,60,60,61,61,61,61,62,58,58,58,62,58,55,55,55,58,56,54,54,54,56,63,37,58,62,46,63,57,61,53,62,81,71,85,62,77,63,74,63,77,51,38,50,65,59,56,55,55,45,42,16,8,13,12,10,59
Nuno Malheiro,B,46,46,46,53,50,50,50,53,52,52,52,56,53,53,53,56,58,56,56,56,58,58,55,55,55,58,54,27,39,54,32,61,35,41,56,62,75,65,55,48,80,27,57,68,62,33,42,54,51,44,43,43,59,59,61,8,7,9,5,15,59
K. Devaney,V,55,55,55,58,57,57,57,58,56,56,56,57,52,52,52,57,48,44,44,44,48,46,41,41,41,46,60,55,49,54,45,61,55,51,50,60,68,67,64,52,52,54,60,53,55,58,35,26,52,55,55,51,29,38,37,6,12,13,12,10,59
F. Şimşek,V,59,59,59,58,58,58,58,58,56,56,56,58,52,52,52,58,45,42,42,42,45,42,38,38,38,42,59,64,50,56,48,66,49,46,53,65,58,58,61,49,67,76,56,49,57,41,41,18,54,49,60,53,25,34,31,12,11,10,11,9,59
R. Singh,N,58,58,58,53,55,55,55,53,53,53,53,52,46,46,46,52,38,36,36,36,38,36,34,34,34,36,33,62,55,48,47,52,34,60,32,58,63,57,62,57,57,60,65,66,74,55,34,13,56,47,64,46,20,16,15,13,11,9,13,11,59
M. Smith,V,58,58,58,59,58,58,58,59,59,59,59,59,58,58,58,59,55,55,55,55,55,55,54,54,54,55,55,56,55,65,52,59,58,60,60,61,64,65,72,58,72,66,59,54,62,46,57,47,53,59,57,61,40,55,57,8,6,16,7,13,59
M. Čović,V,51,51,51,59,57,57,57,59,58,58,58,58,52,52,52,58,46,43,43,43,46,43,37,37,37,43,52,42,43,60,39,71,52,44,51,67,69,67,78,46,82,50,54,42,32,40,30,26,53,55,45,48,49,27,22,5,13,7,7,8,59
N. Sugai,V,48,48,48,56,53,53,53,56,56,56,56,57,58,58,58,57,59,59,59,59,59,57,56,56,56,57,64,43,40,65,23,60,32,32,57,62,47,52,56,60,63,22,55,54,58,28,49,61,58,55,36,47,53,63,58,9,15,6,13,14,59
K. Ikeda,N,57,57,57,57,58,58,58,57,60,60,60,56,53,53,53,56,39,41,41,41,39,36,35,35,35,36,30,60,52,62,55,62,46,42,50,61,68,57,70,53,65,52,61,51,68,52,40,18,50,67,62,55,33,10,13,13,8,5,10,7,59
M. Fonseca,N,58,58,58,57,58,58,58,57,56,56,56,56,50,50,50,56,41,37,37,37,41,38,32,32,32,38,39,62,54,55,49,60,42,33,40,57,68,69,63,59,65,57,62,63,50,60,31,18,57,49,60,58,18,16,14,11,6,6,10,10,59
